product_name,categories_en,energy-kcal_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g
"Flame Grilled Steak","","466.666666666667","62.5","7.08333333333333","20.4166666666667",""
"Vegan Grilled Cheese Toastie Crisps","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps","470.833333333333","62.5","7.08333333333333","20.8333333333333","4.16666666666667"
"BBQ pork ribs","","114","15","1.70000004768372","5.30000019073486","1"
"Wotsits Walkers","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps","470","61","7.1","21","4.4"
"Monster munch","","470","62","6.7","21","4.4"
"Natural Chocolate","","360","32.8","24","24","16"
"Walkers roast chicken with heinz mayonnaise","","512","52","6.4","29.2","6.4"
"Cheese Toastie with Heinz Beanz Flavour Potato Crisps","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps","512","54","6.4","29","6.3"
"Sausage Sarnie With Ketchup","","512","52","6.4","29.2","6.4"
"Chilli Heatwave","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips,Flavoured corn crisps","480","60","6.33333333333333","22.3333333333333","5.66666666666667"
"BOLDER CRUNCH ICONIC TASTE Doritos TANGY CHEESE FL","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips","480","60","6.66666666666667","22","18.3333333333333"
"BOLDER CRUNCH ICONIC TASTE Doritos COOL ORIGINAL F","","480","60","6","22","5.66666666666667"
"Thai sweet chilli sensations","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Potatoes and their products,Crisps,Salty snacks made from potato,Potato crisps,Flavoured potato crisps","487.810707456979","54","6.6","26","5.9"
"serving contains: Saturates Sugars Salt 0.6g 0.7g","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Potatoes and their products,Crisps,Salty snacks made from potato,Potato crisps","512","52","6.4","29.2","4"
"Walkers Crisp Famously Worcester Sauce Crisps","","508.126195028681","53","6.3","29","4.3"
"SOME SEE POTATOES WE SEE POTENTIAL 100% GREAT BRIT","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Potatoes and their products,Crisps,Salty snacks made from potato,Potato crisps","506.931166347992","53","6.1","29","4.6"
"Seriously Salt & Vinegar","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potatoes and their products,Potato crisps,Salt and vinegar crisps","508.365200764818","53","5.9","29","4.5"
"Supreme Prawn Cocktail","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potatoes and their products,Potato crisps,Flavoured potato crisps","508","52","6","28.8","4.4"
"Bbq Sauce Crisps","","508","52","6.4","29.2","4.8"
"40 SUME SEL POTATOES, WE SEE POTENTIAL 100% GREAT","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Potatoes and their products,Crisps,Salty snacks made from potato,Potato crisps","513","54","6.6","29",""
"JAPAN WALKERS STICKY TERIYAKI FLAVOUR POTATO CRISP","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Potatoes and their products,Crisps,Salty snacks made from potato,Potato crisps","508","52","6","28.8","4.4"
"Masala Chicken","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps","508.843212237094","54","6.1","29","4.6"
"Paprika Flavour Ridged Potato Crisps","","508","54","6.2","29","4.7"
"Hot Honey Crisps","","512","56","5.6","28.8","4.4"
"Lightly Salted","","520","52","6","30.4","4.8"
"Lightly Cheese & Onion","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps","520","52","6.8","29.6","6.4"
"Croissant pur beurre","","429","42.5","9.7","23.9",""
"goyave ananas pomme","","56","13","1","0.5","1.1"
"Peito de Peru Defumado Fatiado Vita SADIA Bandeja 200g","Meats and their products,Frozen foods,Meats,Frozen meats","90","0","18.3333333333333","1.33333333333333","0"
"Praline mit Foto-Herz-massiv-26 Stück","de:pralinen-mit-foto","563","52.1","6.8","35.9","0"
"Mousse au chocolat noir","Dairies,Desserts,Dairy desserts,Chocolate desserts,Sweet mousses,Dairy Mousses,Chocolate mousses,fr:Mousses au chocolat noir","631","10","27","52",""
"PureNourish","","116","1.89999997615814","18","2.5","7.40000009536743"
"Chocolat noir BIO 85%","","639","20.6","9","55.3","11.5"
"Pure nourish","","440.600006103516","","10.6999998092651","",""
"Parmesan","","466.666666666667","6.66666666666667","40","30",""
"Yogourt grec","","150","16","14","3",""
"Fèves au sirop d’érable","","152","29.6","5.6","2.4","4.8"
"Chaise","Meals,Pasta dishes,Stuffed pastas,Ravioli with ricotta and spinach","12","35","1","55","67"
"Ricotta sita","Dairies,Fermented foods,Fermented milk products,Cheeses,Italian cheeses,Ricotta","143","3.9","8.1","11",""
"Blanc de poulet rôti","Meats and their products,Prepared meats,Chicken and its products,Prepared poultry meats,Prepared chicken meats","106","3.1","19","2","0.008"
"Tuna in Olive Oil","Fish and meat and eggs","204","0","24","12",""
"Cannellini Beans in salted water (20166076)","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Legumes and their products,Canned foods,Legumes,Seeds,Vegetables based foods,Canned plant-based foods,Legume seeds,Canned vegetables,Pulses,Common beans,Canned legumes,White beans,Canned common beans,Canned white common beans","92","12.5","6.1","0.6",""
"Coca Cola","","140","3","","",""
"Orange juice","","140","33","2","",""
"YOGURT FRUTOS ROJOS","","44","11.7","3.5","2.2",""
"Gold peak tea sweet tea","","34.7349177330896","8.77513711151737","","",""
"Cherry Coca-Cola","","43.9932318104907","11.844331641286","","",""
"Minute Maid Fruit Punch","","508.474576271186","11.864406779661","","",""
"Fanta orange","","45.045045045045","12.1621621621622","","",""
"noix de cajou vrac","Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Cashew nuts","702","5.3","14.8","66.7","6.4"
"Root beer","","45.0704225352113","12.3943661971831","","",""
"Half Tea Half Lemonade","","100","25","","",""
"Honey  Green Tea","","14","3.8","","",""
"Simply lemonade","","45.8333333333333","27.9999987284342","","",""
"Simply Light Lemobade","","25","7","","",""
"Simply light orange juice","","50","12","1","",""
"Simply Light Orange Juice","","20.8333333333333","5","0.416666666666667","",""
"Orange Juice","","45.8333333333333","10.8333333333333","0.833333333333333","",""
"Simply Orange","","110","26","2","",""
"Simply Orange with Pineapple Juice","","45.8333333333333","11.25","0.833333333333333","",""
"The Simply Orange Juice","","41.6666666666667","10.8333333333333","","",""
"Watermelon Juice Drink","","37.5","9.58333333333333","","",""
"Pibb Xtra","","39.4366197183099","11.2676056338028","","",""
"Fruit Punch","","270","30","","",""
"Minute made lemonade","","30","11.830985915493","","",""
"Ginger Ale","","36","48","","",""
"Green Teak","","100","7.35294117647059","","",""
"Peach Tea  Peace Tea","","22.0588235294118","5.88235294117647","","",""
"Orange juice","","45.8333333333333","11.25","0.833333333333333","",""
"100% pure squeezed orange juice","","110","27","2","",""
"Green tea","","160","15","","",""
"Orange juice","","110","26","2","",""
"Vitamin water açaí blueberry pomegranate","","100","26","","",""
"2 maxi best of chicken Mcnuggets","Meats and their products,Meat preparations,Chicken and its products,Chicken preparations,Breaded products,Breaded chicken,Poultry nuggets,Chicken nuggets","0","","","",""
"Beef Shui Jiao/Dumplings","Meals,Chinese dumplings,Frozen Chinese dumplings","177.2","19.2","7.1","8",""
"Get 27","","225","18.7999992370605","","",""
"2 maxi best ok et 2 happy meal","","599","87","17.3","20.8","8.5"
"Super fruit punch","","35","8","","",""
"Peach Oolong Tea","","12.6849894291755","3.38266384778013","","",""
"Honest Kids Organic Berry Good Lemonade","Beverages,Carbonated drinks,Sodas","35","8","","",""
"Coca Cola with coffee vanilla","","19.7183098591549","5.07042253521127","","",""
"Fruit punch","","33.3333333333333","91.6666666666667","","",""
"Dunkin iced coffee French vanilla","","270","42","7","9",""
"Orange juice vitamin c & zinc","","20.8333333333333","4.58333333333333","","",""
"Low fat milk 1%","Dairies,Milks,Skimmed milks","41.6666666666667","5","3.33333333333333","1.04166666666667","0"
"Pomegranate","","16","4.4","","","22"
"Vitamin Water Power-C","","16.9204737732657","4.56852791878173","","",""
"Dragonfruit","","100","","","",""
"Vitamin water","","16.9204737732657","4.73773265651438","","",""
"Vitamin water","","100","26","","",""
"Vitamin  Water  Zero Look","","5","","","",""
"Vitamin Water Zero Sugar - Gutsy","","1.69204737732657","0.846023688663283","","1.35363790186125",""
"Coke","","240","65","","",""
"Just peachy","","150","40","","",""
"Berry","","42.2535211267606","11.5492957746479","","",""
"Fanta ananas","Beverages","50.7042253521127","","","",""
"Nectar bio sans sucres ajoutés","","32","7.40000009536743","0.200000002980232","0.100000001490116","0.100000001490116"
"Cherry","","150","42","","",""
"2500013056","","45","11","","",""
"Think! Protein+ Salter Caramel Bar","","150","20","10","4.5","5"
"Jugo de Naranja prensado en frio","","175","12","","",""
"Mango peach","","170","19","","",""
"Zero Sugar with love raspberry dark chocolate","","1.69204737732657","0.169204737732657","","",""
"Vitamin Water","","100","27","","",""
"Dunkin’ Donuts iced coffee vanilla cake","","61.5384615384615","9.84615384615385","1.84615384615385","1.84615384615385","0.307692307692308"
"Lemon Tea","","23.7659963436929","6.21572212065814","","",""
"Apple juice","","87.5","22.5","","",""
"Lemonade with strawberry","","110","27","","",""
"Coca-cola","","34","9.31","","",""
"Honest kids","","19.774011299435","4.51977401129944","100","","25"
"Xxx  açaí blueberry pomegranate","","80","22","","",""
"rote linsen","","337","46.5","25.8","1.6","16.5"
"Hydro 90 BV 104 Whey Protein","Dietary supplements,Bodybuilding supplements,Whey-protein","384","1.8","88","2.4","1.5"
"Fiber","","180","11","1","1","81"
"Greek 0% Fat","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts","57","3.6","9.5","0.5","0"
"Mini payés de salmón con huevo","","257","21","11.7","13.7",""
"Triángulo de tortilla con cebolla","Meals,Spanish omelettes","182","28.6","5.2","4.5",""
"Slim jamon, crema brie y triguero","","200","19.1","13.7","6.4",""
"Chocolat protein powder","","421.052631578947","21.0526315789474","65.7894736842105","7.89473684210526","2.63157894736842"
"Power boost","","14.5","","","","5"
"Paëlla de poulet","","312.5","0","31.25","21.875","0"
"Bougatsa","","278","35.7","5.1","12.3",""
"Mehrkomponeneten Protein 90 C6 Haselnuß","Dietary supplements,Bodybuilding supplements,Protein powders","361","2.5","85.5","1",""
"Croissant proteico dimagra","","324","8","30","20",""
"Giving greens","","15","3","1","","2"
"Giving greens","","187.5","","12.5","","37.5"
"Proteína de Soya My Smart Shake","Dietary supplements,Bodybuilding supplements,Protein shakes","364.1","10.2","46.1","15.3","20.5"
"L-lysine defense","","0","","","",""
"Berlingot Noisettes","","222","18","25","4.59999990463257","3.09999990463257"
"Meringue Pépites de chocolat","","307","68.2","3.3","2.4",""
"Père Noël Lait","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Chocolate molds,Milk chocolates,Chocolate Sculptures,Chocolate Santa Clauses","565","49.33","7.42","36.65","3.45"
"Effeuille de canard confit et polenta moelleuse","","162","7.32","6.88","11.7","0.6"
"Andrè","","165","65","1.5","2","3"
"Bio te verde","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Green teas","5.1","1.09","0","0","0"
"Chicken fettuccine with broccolini","","86.9767441860465","9.37209284582803","7.25581413091615","1.9069766998291","1.37209304543429"
"Chicken Fettuccine with Broccolini","","86","9.39999961853027","7.09999990463257","1.89999997615814","1.5"
"Rooihod de Noël","","1","0","0.1","0","0"
"Ciao le sel ! Iodé","Plant-based foods and beverages,Plant-based foods,Condiments,Spices,fr:substituts-de-sel","459","16","16","35",""
"Fitline proshape all in 1 choco chrunch","","370.967741935484","41.2903225806452","23.3870967741935","11.4516129032258","9.51612903225807"
"The simpsons donuts","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Doughnuts","470","46.3","5","28.9",""
"Creme","","76","6.3","2.9","4.3","0.2"
"Roti Wraps","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,White breads,Wheat breads,Wheat flatbreads","289","44.8","7.6","7.8",""
"Boneless Pork Chops","","198.41619781654","0","29.9828921144994","7.9366479126616","0"
"Pork Tenderloin","","235.294117647059","0","41.1764705882353","7.05882352941176",""
"Prime Pork Ribeye","","214.285714285714","0","16.9642857142857","16.0714285714286","0"
"Usana chocolate protein powder","","406.779661016949","54.2372881355932","25.4237288135593","10.1694915254237","3.38983050847458"
"Nutrimeal Dutch Chocolate","","400","54","25","12.3999996185303","13.6999998092651"
"Barre. Céréale","","369.090909090909","34.5454545454545","25.4545454545455","11.9999998266047","13.0909087441184"
"Bar","","203","","","",""
"Soupe végétale","","683.333333333333","70","63.3333333333333","13.3333333333333","16.6666666666667"
"Lingots Orange Choconoir","","505.791505791506","42.4710424710425","10.03861003861","32.0463320463321",""
"Soupe","","25","","","",""
"Karamel Sutra Ice Cream","","256","27","4.1","13.99988","1"
"Hkbujvj","","355","8","51","32","2"
"Usana nutrimeal protein powder","","240","33","15","7","8"
"Bijou tradition pâtissiere","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Pastries,Madeleines","511.4","41","9.1","34","2.5"
"Collagen Peptides","","25","","6","",""
"Achieve Bar","","370.967741935484","38.7096774193548","32.258064516129","16.1290322580645","3.2258064516129"
"Pepperoni pasta","","110.649350649351","16.4675328638646","5.89610409426999","1.92207794684868","1.63636368590516"
"Nadalin","","424","33","0.1","29","0"
"Tacchino tonnato","","221","5.5","9.39999961853027","17.3999996185303","2"
"Flautas de pollo","","232","31.5","7.9000000953674","7.9000000953674",""
"Pringles","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps","518","56","6.40000009536743","29","3.79999995231628"
"Bbreack olive","","241","35","7.1","7.4","3.2"
"Gummidrops Eukalyptus Menthol","","340","78","","",""
"Madeleines Bijou","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Chocolate cakes,Madeleines,Chocolate madeleines,fr:madeleines-chocolat-noisette","495","51","6.6","29","1.8"
"Clafoutis aux poires","","226","21.6","4","13.6","0.5"
"Juice plus chocolate und vanilla","","354","30","34","7.30000019073486","16"
"Organic Vegan Protein Shake Mix","Dietary supplements,Bodybuilding supplements,Protein powders","120","11","20","2","5"
"Complete","Meals,Meal replacements","375","46","25.3","6.9","15"
"Madeleines écrin","","465","52","6.19999980926514","25","3.40000009536743"
"P'tits-B Crousti'Choco","","475","60","9.1","21","5"
"Mélange pour produits  de boulangerie proteine - Herbalife","","100","6","15","2.5","2"
"madeleines ecrin","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Chocolate cakes,Madeleines,Chocolate madeleines","369.946666666667","47.0559","3.42653333333333","37.0124333333333","1.496"
"Pesto fettuccine","","500","57.1428571428571","0","28.5714285714286","10.7142857142857"
"Petit beurre tablette choco","fr:gouter-petit-beurre-chocolat","510","66","6.3","24","2.4"
"Lemon pepper chicken caesar (Half Dressing, 1/3 Strips)","","102.827763496144","5.39845758354756","8.74035989717224","5.1413881748072",""
"Gerookte schouderham","","119","3","17","4.5",""
"Jamón de cebo ibérico","","263","0","32","15",""
"Crema fresca verduras","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Cream soups,Vegetable soups,Cream of vegetable soups","23","3.3","0.8","0.5",""
"Crema de Calabaza y Zanahoria","","38","5","0.6","1.4",""
"Crema Fresca Verduras","","0.59","33","0.8","0.5648",""
"MK Seed Mix","","474","0.8","27","35","27"
"Crema de calabacin select chef","","29","1.5","0.8","13",""
"Crema fresca calabacin","","29","1.5","0.8","13",""
"Hackfleisch","","2","0.3","0.2","0.1",""
"Crema de calabaza y zanahoria chef select","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Cream soups,Cream of vegetable soups,Cream of pumpkin soups","38","5","0.6","1.4",""
"Crema de verduras chef select","","23","3.3","0.8","0.5",""
"Puré calabacín","","13","1.5","0.8","1.3",""
"Crema de calabaza y zanahoria","","38","5","0.6","1.4",""
"Tee Latte Vanille","","56","","","",""
"Brasato al vino rosso","","139","1.5","17","7","1"
"Calabaza y Zanahoria","","37.5","5","0.6","1.4","2.7"
"Rillettes de canard au foie gras","Meats and their products,Spreads,Meats,Prepared meats,Salted spreads,Poultries,Rillettes,Potted meats,Ducks,White meat rillettes,Poultry rillettes,Duck rillettes","25","0.475","13.05","42.75",""
"Salade shaker chef","","72","5.2","7","2.2",""
"Miel","","33","80","0.5","","0.5"
"Phosphatidyl serine 400mg","","0","","","",""
"Infusion","","1","0","0.1","0","0"
"Bœuf, marchand de vin","","95","2.97619047619048","6.85714267549061","5.76190494355701","1.78571428571429"
"Cookies","","441","61","6","19","2"
"Les fritures gourmandes","","582","44.95","7.38","40.49",""
"Vollmilchpulver","","492","40.6","23.8","26",""
"Salade de macedoine de légumes","Plant-based foods and beverages,Plant-based foods,Snacks,Salty snacks,Appetizers,Meals,Prepared vegetables,Cold starters,Vegetables macedoines","143","3.9","1.9","12.7",""
"Baguette Poitevin","","207","27.5","8.9","6.7","1.7"
"Pure whey","","386.666666666667","8.33333333333333","76.6666666666667","3.33333333333333",""
"4 petits carrés","","507","17","6.5","26","1.70000004768372"
"Whey-Protein-Isolat Pistazien-Geschmack","","347","1.2","83","1","0.4"
"Collagen peptides - Nutra Champs","","357.142857142857","","85.7142857142857","",""
"Sweet Mango Chutney","Plant-based foods and beverages,Plant-based foods,Spreads,Plant-based spreads,Chutneys,Fruit chutneys,Mango chutneys","238.0355","56.8745","0.44685","0.279125","1.11575"
"Lemon Poppy Seed","","45","7","0.200000002980232","2",""
"Zesty Italian","","33.3333333333333","6.66666666666667","0.333333338300387","",""
"Slow cooked beef with red wine and mustard glaze","","98.1609195402299","8.09195419837689","9.24137948573321","2.71264372200801","2.16091945253569"
"Slow cooked beef with red wine & mustard glaze","","93.1034482758621","7.26436790378614","9.17241414388021","2.55172422562522","1.95402298850575"
"Frukt rod","","0","0","0","0",""
"ICE TEA","Beverages,Tea-based beverages,Iced teas","0","0","0","0",""
"Instant noodles crevette","","446","60.8","10","17.1","4.6"
"Shake vanille","","209","22","19","2.5","5"
"Lemon, garlic, parsley crusted salmon","","121.25","5.02250003814697","9.68249988555908","6.88500022888184",""
"Menuto soupe st germain","","33","","","",""
"West Indian sea bass with veg","","433","37","35.7000007629395","14.6000003814697",""
"Bon macdo","","10","30","34","30",""
"Tester","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Meats and their products,Cereals and their products,Meats,Breakfast cereals","2121","2312","213","2321","23.123"
"yogurt","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts","315","10","15","21","13"
"Croissants pur beurre","Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Croissants,Butter croissants","414","45","8.6","22.2",""
"Super greens","","333.333333333333","55.5555555555556","22.2222222222222","","22.2222222222222"
"Compote pomme framboise et crumble","","141","20.7999992370605","1.20000004768372","3","2.90000009536743"
"Suedois thon","","162","20.7","9.1","3.7",""
"Bakers Best, White Bread","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","235","50","8.82","1.47","2.9"
"Bakers Best, Rye Bread","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","256","53.85","7.69","2.56","2.6"
"Salt & Vinegar Crisps","","135","16.5","0.8","7.7","0.5"
"Dunkin egg & cheese wake up wrap","","180","14","7","10",""
"Pringles BBQ mini can","","512","58.97","5.13","30.77","2.56"
"Collagen Peptides","","350","","90","",""
"Ciabatta Bombay","","174","29.3","8.9","2.3",""
"baked crisps","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps","438","73","5.9","13","6.3"
"Salame milano di puro suino","Meats and their products,Prepared meats,Cured sausages,Salami","404","0.5","24","34",""
"Bacon","","189","2","16","13",""
"Honey","Non food products","50","1","10","1",""
"Red thai king prawns with cabbage rice and stir fried veg","","118.095238095238","10.4047620864142","7.59523800441197","5.33333324250721",""
"Eclairs","Snacks,Sweet snacks,Biscuits and cakes,Pastries,Eclairs,Chocolate eclairs","237","32","4.6","9.5",""
"Navarin de la mer","","90.174672489083","4.80349344978166","10.2620087336245","2.62008733624454","0.655021834061135"
"Lean Ground Beef Patties","","160","","23","8",""
"Ciabatta Roma","","216","31.5","12.5","4.5",""
"Chicken Alfredo (PLN)","","484","35","51","17","5"
"Vegetarian spaghetti bolognaise","","104.415584415584","16.3896099932782","6.18181798365209","1.1428571676279","1.48051943097796"
"Pâtes à gaufre","","198","38","5.80000019073486","2.20000004768372","1"
"Mais","","83","12","2.6","1.8","3.9"
"Piment","","39.79","6.9","1.39","3.98",""
"Céréales Peanut Butter","","410","35","36","13","6"
"Thai yellow vegetable curry","","107.297297297297","10.7567565505569","4.51351371971337","4.59459459459459","2.54054043744061"
"Chocolate orange shake","","353","21","35","9","15"
"Japanese vegetable stir fry with udon noodles","","97.5308641975309","11.4074075957875","5.28395052309389","2.83950617283951","2.39506168130003"
"TEST CF BLANC","","169","6","2.5","15",""
"MCT OIL ketodiet","","644","0","0","94.7",""
"Mini cracker proteici","","382","4","36","18","30"
"Crostini classici proteici","","374","8","40","14","28"
"Croissant Proteico al cioccolato","Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Croissants","335","10","25","20","14"
"Plumcake proteico","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Plum cakes","412","8","28","24","15"
"Bio Erbsen Protein 82%","Dietary supplements,Bodybuilding supplements,Protein powders","402","0","82","7.8",""
"Zuppa proteica promosprint","","320","54","18","1.8","8"
"Flavour Powder Hazelnut Nougat","","200","12","3.6","1.7","61"
"Whey protein","","387.096774193548","3.2258064516129","87.0967741935484","3.2258064516129",""
"Rainbow pack","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Berries","51.4018691588785","12.2523361277357","1.07009344011824","0.462616826886329","4.3925231862291"
"Beignets gourmands parfum choco-noisettes","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Doughnuts,Doughnuts filled with chocolate","406","50","0","20",""
"Religieuse au chocolat","","18","25","0.4","18",""
"Soupe aux poireaux et lentilles à la française","Meals,Soups","361.11111111111","63.888888888889","22.222222222222","1.3888888888889","25"
"Chargrilled chicken with pesto and Napoli sauce","","75.3333333333333","7.42222256130642","6.91111119588216","1.62222226460775","1.64444446563721"
"Chargrilled chicken with pesto and Napoli sauce","","75.3333333333333","7.42222256130642","6.91111119588216","1.62222226460775","1.64444446563721"
"Musclewhey","","382","8.27000045776367","74.629997253418","3.99000000953674",""
"Piñon nacional","","505","3.97","12.98","48.59",""
"Shakeology chocolate flavor","","160","17","16","3","6"
"Slow Cooked Greek Style Lamb","","88","7.59999990463257","7.69999980926514","2.5","2.09999990463257"
"Tortillas de  maíz","","90","19","2","1","2"
"Mehrkomponeneten Protein 90 C6 Banane","Dietary supplements,Bodybuilding supplements,Protein powders","361","2.5","85.5","1",""
"Crema di nocciola","","549","46","9.8","35",""
"Leffe","Beverages and beverages preparations,Beverages,Alcoholic beverages,Beers,Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner","58","0","0","0",""
"Chicken Souvlaki Pita Wrap","","136","14.6","9.2","4.6","2"
"Peach","","38","7.6","10","0.5","1.5"
"Blanc de poulet zéro nitrites","Meats and their products,Meats","104","0.5","20","2.40000009536743",""
"Organic India pre and probiotic Psyllium husk","","35.7142857142857","","","","8.57142891202654"
"T'choupi","","0","","","",""
"Rice Crackers","","120","18","1","5",""
"Boisson nutritionnelle pêche litchi","","776.923076923077","46.1538461538462","92.3076923076923","18.0769223433274","19.2307692307692"
"Nat","","423","65","9.5","12",""
"Nährshake","","357","25","35","8","15"
"Salambo au kirsh","","229","31","2.7","10",""
"Hafermilch","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks","46","6.6","1","1.5","0.8"
"Protein Pudding Vanilla","","361","5.7","75","3.6","3"
"Barre aux proteines","","140","16","10","4",""
"Lomo ibérico de Bellota","","347","0.5","36.5","22.3",""
"Protein Drink Mix","Dietary supplements,Bodybuilding supplements,Protein powders,Protein shakes","387","24","53","8.2","1.3"
"Chocolate nutriment active","","240","25","20","9","10"
"Proteinbar with lemon flavour","Snacks,Canned foods,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements,Protein bars","398","45","28","12","0"
"Smokey bahart mango chicken","","144.088669950739","14.3349753694581","12.1674876847291","4.01477832512315",""
"Confit d'Oignons ou de figues","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Spreads,Vegetables based foods,Culinary plants,Plant-based spreads,Salted spreads,Onions and their products,Chutneys,Onion chutneys,Groceries","173","42","0.5","0.5",""
"Schoko Nougat Crunch","","410","37.1428571428571","40","13.5714285714286",""
"Gluten free multigrain bread","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Specific products,Products for specific diets,Breads,Products without gluten,Gluten-free breads","156.010056985294","33.5025772058824","2.37644724264706","1.90959191176471","1.59743933823529"
"Ashwagandha Root Powder","","2.002","0.46","0.036","0.002",""
"Nutrek","Plant-based foods and beverages","510.909090909091","40.9090909090909","86.8181818181818","0","10.4545454545455"
"Lean cuisine macncheese","","280","35","18","7","1"
"Quatre quarts au pomme","","322","42","4.1","15",""
"Bodylean 25","","140","5","25","2.5","1"
"Mixed nut butter","","200","8","7","16","4"
"Pomme noisette","","178","26","2.5","6.69999980926514","1.89999997615814"
"Ricotta and cheese spinach ravioli","","110.62","17.7","4.42","2.65","1.77"
"Nut butter bar","","220","28","6","10","3"
"Cliff Nut Butter Bar","","460","52","14","22","6"
"Nut butter bar","","230","26","7","11","3"
"Peanut butter nut bar","Snacks,Sweet snacks,Bars","230","27","7","11","3"
"Italian Mozzarella Cheese","","220","2","17","16","0"
"Vitello tonnato","","193","0.69999998807907","1","2.9000000953674",""
"Cannelloni di crespelle speck e brie","","188","10.5","7.7","12.6","0.9"
"Gnocchetti alla romana","","128","18.7","5.7","3","1.8"
"Fruity crunch premium whey protein","","392.749244712991","9.06344410876133","75.5287009063444","7.55287009063444","3.02114803625378"
"Skin boost plus","","23","","5","",""
"Miel de fleurs","Breakfasts,Spreads,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Flower honeys","318","79","0.5","0",""
"Tiramisu cappuccino","Dairies,Snacks,Desserts,Sweet snacks,Dairy desserts,Biscuits and cakes,Pastries,Tiramisu,Coffee tiramisu","290","34","3.9","14",""
"Matcha latte - Jade Leaf","","400","90","10","","10"
"Tartufo","","250","34","3.79999995231628","8.89999961853027","2.40000009536743"
"Siggis","","150","6","18","6",""
"Plant-based caprese","","344","21","5.19999980926514","26","2.5"
"Maltodextrine","","188","47","","",""
"Jimmy  Dean  Meat Lover Stuffed Hashbrown","","290","25","10","17","1"
"Lasaña de espinacas","","538","9.4","5","8.4",""
"Sandwich brioche saumon façon caesar","","209.300003051758","20.7000007629395","11","10.1000003814697","2"
"Ravioles et courgettes","","203","15","6.59999990463257","13",""
"Formula 1","Meals,Dietary supplements,Meal replacements","346.153846153846","50","34.6153846153846","3.84615384615385","11.5384615384615"
"Dahl de lentilles et volaille tandoori","","103","10.16","8.53","3.22","3.22"
