product_name,categories_en,energy-kcal_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g
"Purée de pommes de terre","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Meals,Purées,Potato preparations,Mashed potatoes","106.52","11.67","2.27","5.64",""
"Twaroż Półtłusty Farmer Cheese","","116.666666666667","3.33333333333333","16.6666666666667","3.33333333333333",""
"Organic Peas","","413","46","14","17","10"
"Organic Oats","","488","55.799999237061","5.1999998092651","26.60000038147",""
"Cigarettes Fourrées Chocolat Noisettes","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Non food products,Cigarettes,fr:biscuit-patissier-fourres-chocolat-noisette","488","67","6","21","3.5"
"Uncured Beef Hot Dogs","","210.526315789474","1.75438596491228","17.5438596491228","14.0350877192982","0"
"Candy UP chocolat","","62","9.8","0.1","0.9","3.2"
"Ribeye","","246.917935060583","0","18.5188451295437","19.4006948976172","0"
"Beef Top Sirloin Steak","","303.571428571429","0","16.9642857142857","25.8928571428571","0.892857142857143"
"Organic Goat Feed - Mash","","471","55","5.8","25","1.5"
"Sucre neige","","419","91.2","0","6",""
"Cassolade au confit de canard à la provençale","","213","13","11","13",""
"carte macdo","","338","47","17","14","3"
"Nems poulet","Meats and their products,Meals,Meals with meat,Poultry meals,Meals with chicken,Nems,Chicken nems","176","27","7.90000009536743","3.40000009536743","2.09999990463257"
"น้ำยาพ่นคอ","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Broccoli","387","72.1","10","5.7","3.7"
"Everything Nut Blend","","642.85714285714","21.428571428571","17.857142857143","57.142857142857","7.1428571428571"
"Honey And Chilli Beef With Egg Noodles & Greens","","159.75","15.75","13.25","4.5","1.65"
"Nathan Thomazo","","0","20","2","20",""
"Kollagen Hydrolysat edubily","","54","0.100000001490116","1","0.100000001490116","0.100000001490116"
"vanilla protein","Dietary supplements,Bodybuilding supplements,Protein shakes","393","17.8571428571429","64.2857142857143","11.0714285714286",""
"Born fruta fresca deshidratada","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits","362.1","60.9","5","10.3","9.5"
"pot au feu de légumes aux aromates","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","25.7","3","1.4","0.7","0.9"
"velouté de 10 légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Cream soups,Vegetable soups,Cream of vegetable soups","32","5.2","0.7","0.8","0.8"
"Délice de 10 Légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","46","5.52","0.8","2.12","0.92"
"soupe à la chinoise  légumes et vermicelles","Plant-based foods and beverages,Plant-based foods,Meals,Dried products,Pastas,Dried products to be rehydrated,Noodles,Soups,Instant noodles,Instant noodle soups","20","3.1","0.6","0.4","0.7"
"Potiron et vermicelles","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Meals,Vegetable-based foods and beverages,Pumpkin and Squash plant products,Soups,Cream soups,Pumpkins and their products,Vegetable soups,Cream of vegetable soups,Pumpkin soups,Cream of pumpkin soups","26","4.5","0.7","0.4","0.8"
"Légumes et kiri","","54","6","1","3","1"
"Mouliné de Légumes Bio","","29.1","4.4","0.8","0.7","1"
"soupe à la paysanne","","35.4","3.7","1.6","1.2","1.7"
"Délice de potiron châtaigne","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Pumpkin soups","34.2","5.5","0.7","0.8","1.1"
"Lié big purSoup mouliné de 10 Légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","35.8","4.6","0.9","1.2","1.5"
"Soupe potiron et kiri","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","38.3","4.9","0.9","1.5","0.8"
"Minestrone à la Milanaise","","48","5.5","1.3","2","1.5"
"Gaspacho à l'andalouse","Meals,Soups,Cold soups","26","2.3","0.7","1.3","0.9"
"Velouté de légumes du soleil","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Meals,Soups,Cream soups,Vegetable soups,Canned meals,Cream of vegetable soups,Canned soups,Canned vegetable soups","35","3.7","0.9","1.7","0.8"
"Potiron et j’irai","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Pumpkin soups","35","4.2","0.9","1.4","1"
"bio mouliné de legumes verts","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,it:zuppa","28","4.4","1","0.5","1.1"
"velouté de potiron et graines de courge bio","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Pumpkin soups","33","4.7","0.8","0.9","1.1"
"velouté de tomates et pointe d'origan","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Tomato soups","28","4.7","0.7","0.5","1"
"Velouté de 10 Légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Cream soups,Vegetable soups,Cream of vegetable soups","41","4.6","0.8","1.9","1"
"Velouté de tomates","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Tomato soups","36","6.2","1.1","0.6","0.6"
"pur soup' mouliné de 5 légumes verts","Meals,Soups,Reheatable soups","24.8023763020833","4.5952100423177","0.813140462239582","0.16035001627604","0.837461588541666"
"velouté de tomates","","91","","","",""
"Velouté de 12 légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Cream soups,Vegetable soups,Cream of vegetable soups,fr:potage","42","5.2","0.7","1.9","0.7"
"Bio légumes et mini penne","","42","6.09999990463257","0.899999976158142","1.29999995231628","0.899999976158142"
"Soupe bio tomate","Meals,Soups","36","6.59999990463257","0.800000011920929","0.600000023841858","0.600000023841858"
"Délice de courgette au chèvre","","37","3.90000009536743","1","1.79999995231628","0.5"
"gaspacho à l'andalouse","Meals,Soups,Cold soups","27","2.6","0.7","1.3","0.8"
